GFP;RFP;Condition;ratio_mut_over_wt_g0;ratio_mut_over_wt_g10;ratio_mut_over_wt_g20;ratio_mut_over_wt_g30;selection_coefficient;Kpn_abundance_g0;Kpn_abundance_g10;Kpn_abundance_g20;Kpn_abundance_g30
OXA48;wt;MB010;0,440828402366864;0,308917197452229;0,20253164556962;0,110344827586207;-0,0382331279560507;4,97;4,27;2,12;0,98
OXA48;wt;MB010;0,392156862745098;0,300653594771242;0,18562874251497;0,118292682926829;-0,0332370947163501;5,09;4,48;2,03;0,85
OXA48;wt;MB010;0,315789473684211;0,247386759581881;0,168831168831169;0,0894736842105263;-0,0341144676102449;4,44;3,74;1,61;0,6
wt;OXA48;MB010;0,491638795986622;0,403333333333333;0,357664233576642;0,283018867924528;-0,0263847187004954;3,89;4,38;2,16;0,91
wt;OXA48;MB010;0,566775244299674;0,490909090909091;0,38655462184874;0,304347826086957;-0,0296597162677541;4,92;4,8;2,23;1,05
wt;OXA48;MB010;0,703252032520325;0,508547008547009;0,425;0,354166666666667;-0,0309892265794044;4,66;4,27;1,85;0,87
wt;OXA48;MB010;0,388888888888889;0,326388888888889;0,267716535433071;0,267857142857143;-0,0217829150023037;5,05;4,22;2,36;1,1
wt;OXA48;MB010;0,358565737051793;0,328767123287671;0,26;0,229508196721312;-0,0243479882831338;4,3;4,01;1,89;0,93
wt;OXA48;MB010;0,493212669683258;0,396396396396396;0,296296296296296;0,296296296296296;-0,0268140726591569;4,07;4,06;1,96;0,96
KPC2;wt;MB010;0,27431421446384;0,232876712328767;0,138461538461538;0,0945054945054945;-0,0296276470154994;4,46;4,21;1,86;0,68
KPC2;wt;MB010;0,430851063829787;0,350769230769231;0,211764705882353;0,150537634408602;-0,0290530021165336;4,81;4,1;1,65;0,6
KPC2;wt;MB010;0,54089709762533;0,4;0,260115606936416;0,189189189189189;-0,0282778236664098;4,19;3,53;1,71;0,65
KPC2;wt;MB010;0,448979591836735;0,386363636363636;0,225433526011561;0,166666666666667;-0,0275769791278632;4,25;3,82;1,61;0,71
KPC2;wt;MB010;0,561349693251534;0,473684210526316;0,284810126582278;0,214285714285714;-0,0264381895954501;3,41;3,88;1,89;0,75
KPC2;wt;MB010;0,905579399141631;0,755868544600939;0,424778761061947;0,304347826086957;-0,0309350962828509;3,3;3,1;1,75;0,7
wt;KPC2;MB010;0,43609022556391;0,348547717842324;0,251968503937008;0,276595744680851;-0,025519584226087;3,82;3,25;1,59;0,6
wt;KPC2;MB010;0,469924812030075;0,396078431372549;0,28;0,340425531914894;-0,0217556256534597;3,91;3,56;1,6;0,63
wt;KPC2;MB010;0,461538461538462;0,341216216216216;0,261538461538462;0,244444444444444;-0,0303427796844964;3,99;3,97;1,64;0,56
wt;KPC2;MB010;0,784090909090909;0,671296296296296;0,473214285714286;0,416666666666667;-0,0310798856877586;4,71;3,61;1,65;0,68
wt;KPC2;MB010;0,441935483870968;0,347222222222222;0,261904761904762;0,222222222222222;-0,0320605312059038;4,47;3,88;1,59;0,66
wt;KPC2;MB010;0,756410256410256;0,511904761904762;0,403508771929825;0,377777777777778;-0,0318238465142396;4,11;3,81;1,6;0,62
