GFP;RFP;Condition;ratio_mut_over_wt_g0;ratio_mut_over_wt_g10;ratio_mut_over_wt_g20;ratio_mut_over_wt_g30;selection_coefficient;Kpn_abundance_g0;Kpn_abundance_g10;Kpn_abundance_g20;Kpn_abundance_g30
wt;ompK35;MB002;1,02797202797203;0,876146788990826;0,963768115942029;1,07758620689655;-0,00624887147039283;5,68;3,6;2,53;2,3
wt;ompK35;MB002;1,10596026490066;0,881481481481481;1,01515151515152;1,04838709677419;-0,00880805103440029;5,65;2,84;2,3;2,03
wt;ompK35;MB002;0,923728813559322;0,782608695652174;0,805084745762712;0,900900900900901;-0,00908366087972919;5,92;3,02;2,06;1,99
OXA48;wt;MB002;0,511326860841424;0,281746031746032;0,202702702702703;0,128491620111732;-0,0377177259713073;6,14;3,68;2,67;1,44
OXA48;wt;MB002;0,573369565217391;0,312727272727273;0,20952380952381;0,129213483146067;-0,0416975856177275;6,23;3,57;2,75;1,82
OXA48;wt;MB002;0,536523929471033;0,288135593220339;0,189393939393939;0,138157894736842;-0,0378881477968033;6,36;3,66;3,05;1,81
OXA48;wt;MB002;0,551912568306011;0,25;0,193396226415094;0,116504854368932;-0,0422216083154863;5,93;3,42;2,53;1,97
OXA48;wt;MB002;0,539509536784741;0,279279279279279;0,216931216931217;0,134078212290503;-0,0372841430330287;5,61;2,67;2,26;1,77
OXA48;wt;MB002;0,549738219895288;0,279661016949153;0,218934911242604;0,15028901734104;-0,0343452055241763;4;2,92;1,97;1,92
wt;OXA48;MB002;0,795366795366795;0,521400778210117;0,395480225988701;0,276190476190476;-0,0431116708124106;6,45;3,7;2,8;1,21
wt;OXA48;MB002;0,730886850152905;0,487903225806452;0,335135135135135;0,242647058823529;-0,0454514634925409;6,53;4,1;2,58;2,05
wt;OXA48;MB002;0,746312684365782;0,48046875;0,33160621761658;0,271028037383178;-0,0427119216778319;7,12;3,95;3,05;1,43
wt;OXA48;MB002;0,691860465116279;0,415770609318996;0,308139534883721;0,234848484848485;-0,0440252316962185;5,8;4,09;2,71;2,41
wt;OXA48;MB002;0,822463768115942;0,517073170731707;0,435064935064935;0,308641975308642;-0,0397466753657941;6,36;2,54;2,66;1,27
wt;OXA48;MB002;0,736263736263736;0,453333333333333;0,339869281045752;0,310344827586207;-0,0374139070434159;4,54;3,28;2,13;2,11
KPC2;wt;MB002;0,696132596685083;0,415384615384615;0,315270935960591;0,220338983050847;-0,0302596225555671;4,65;3,91;2,47;1,34
KPC2;wt;MB002;0,774928774928775;0,469135802469136;0,348039215686274;0,238095238095238;-0,0313794910359161;5,66;3,69;2,47;1,69
KPC2;wt;MB002;0,691489361702128;0,435294117647059;0,303418803418803;0,222972972972973;-0,030553703716165;5,92;3,79;2,57;1,36
KPC2;wt;MB002;0,694285714285714;0,430962343096234;0,324607329842932;0,23125;-0,0288062793101613;5,82;3,95;2,25;1,63
KPC2;wt;MB002;0,7;0,427807486631016;0,36144578313253;0,273381294964029;-0,0228827060972685;5,03;3,11;2,21;1,06
KPC2;wt;MB002;0,639344262295082;0,41747572815534;0,322147651006711;0,230769230769231;-0,0261536185212718;3,16;3,27;2,05;1,52
wt;KPC2;MB002;0,738396624472574;0,496;0,366906474820144;0,271317829457364;-0,041666504690087;4,12;3,74;1,9;1,64
wt;KPC2;MB002;0,722044728434505;0,472103004291845;0,35195530726257;0,258741258741259;-0,04234079564597;5,39;3,43;2,42;1,8
wt;KPC2;MB002;0,751908396946565;0,493877551020408;0,374269005847953;0,27906976744186;-0,0411238187471998;4,59;3,66;2,35;1,65
wt;KPC2;MB002;0,717532467532467;0,454918032786885;0,391061452513966;0,276923076923077;-0,0386909882531909;5,29;3,55;2,49;1,66
wt;KPC2;MB002;0,686619718309859;0,475113122171946;0,375;0,247787610619469;-0,0415586378234814;4,79;3,26;1,98;1,41
wt;KPC2;MB002;0,689655172413793;0,478468899521531;0,345679012345679;0,272058823529412;-0,0397721182237616;4,41;3,09;2,18;1,73
wt;wt;MB003;0,933463796477495;0,822085889570552;0,688311688311688;0,323943661971831;-0,021904622341819;9,88;2,97;3,9;2,82
wt;wt;MB003;0,956185567010309;0,867021276595745;0,832599118942731;0,759398496240602;0,00430351315161674;7,59;3,51;4,16;2,34
wt;wt;MB003;0,935153583617747;0,827777777777778;0,758007117437722;0,426778242677824;-0,0127925210808008;11,34;3,29;4,94;3,41
wt;wt;MB003;0,925925925925926;0,892857142857143;0,850202429149797;0,927007299270073;0,0111668804335049;8,84;3,18;4,57;2,64
wt;wt;MB003;0,95993031358885;0,866028708133971;0,826612903225806;0,771241830065359;0,00458980883046271;11,25;3,9;4,53;2,71
wt;wt;MB003;0,925318761384335;0,862068965517241;0,831275720164609;0,802547770700637;0,00698724104435801;10,57;3,78;4,45;2,83
wt;wt;MB003;0,84982332155477;0,78804347826087;0,730392156862745;0,660869565217391;0,00331750946005378;10,47;3,29;3,53;1,91
wt;wt;MB003;0,885304659498208;0,795811518324607;0,806451612903226;0,909090909090909;0,0125495988240481;10,52;3,43;3,92;2,31
wt;wt;MB003;0,900221729490022;0,796954314720812;0,773504273504274;0,688311688311688;0,00327074412750172;8,57;3,54;4,15;2,6
ompK35;wt;MB003;0,727758007117438;0,370731707317073;0,322314049586777;0,352941176470588;-0,0114881524489262;9,71;2,81;3,2;2,76
ompK35;wt;MB003;0,717948717948718;0,41304347826087;0,41304347826087;1,26470588235294;0,0286072873974975;0,67;0,65;1,3;1,54
ompK35;wt;MB003;0,722641509433962;0,54054054054054;1,07070707070707;2,01550387596899;0,0492277717378006;9,13;3,42;6,15;3,89
ompK35;wt;MB003;0,742738589211618;0,6;1,23873873873874;2,64406779661017;0,0569624697119565;8,4;3,44;4,97;4,3
ompK35;wt;MB003;0,714;0,577272727272727;1,24401913875598;2,65420560747664;0,0586897955862426;8,57;3,47;4,69;3,91
ompK35;wt;MB003;0,747300215982721;0,666666666666667;1,37444933920705;2,73831775700935;0,0578155299784147;8,09;3,8;5,39;4
wt;ompK35;MB003;0,932673267326733;0,728323699421965;1,26530612244898;3,37179487179487;0,035461494028445;9,59;3,12;3,6;2,81
wt;ompK35;MB003;0,935684647302904;0,869158878504673;1,32758620689655;3,11538461538462;0,0317046893233494;7,63;3,1;3,88;2,56
wt;ompK35;MB003;0,873320537428023;0,864864864864865;1,66666666666667;3,75581395348837;0,0417066958904757;8,34;3,42;3,9;3,63
wt;ompK35;MB003;0,888888888888889;0,85;1,68;5,625;0,0535471368027593;9,46;3,88;3,77;3,33
wt;ompK35;MB003;0,855329949238579;0,728643216080402;1,18181818181818;2,95698924731183;0,0334333292346613;9,44;3,6;3,81;3,15
wt;ompK35;MB003;0,861924686192469;0,856353591160221;1,53374233128834;3,16504854368932;0,0362343896636145;6,45;3,88;4,63;3,93
OXA48;wt;MB003;0,650602409638554;0,380530973451327;0,45748987854251;0,587570621468927;0,0104061892715696;9,29;3,1;4,7;3,1
OXA48;wt;MB003;0,658695652173913;0,390134529147982;0,416058394160584;0,896296296296296;0,0215050090686243;0,64;0,59;0,99;1,32
OXA48;wt;MB003;0,678068410462777;0,443037974683544;0,611570247933884;1,03932584269663;0,0276575100883077;8,8;3,35;5,12;3,65
OXA48;wt;MB003;0,64808362369338;0,385714285714286;0,444444444444444;1,06832298136646;0,0280334368010915;8,16;3,4;3,36;2,87
OXA48;wt;MB003;0,673758865248227;0,374045801526718;0,304794520547945;0,529126213592233;0,0023246228786017;8,25;3,68;4,46;3,59
OXA48;wt;MB003;0,662371134020619;0,558232931726908;1,03964757709251;1,93283582089552;0,0499675185896248;4,73;2,7;3,31;2,87
wt;OXA48;MB003;0,576923076923077;0,371428571428571;0,271186440677966;0,638888888888889;-0,0087009616833874;9,76;2,99;3,33;3,41
wt;OXA48;MB003;0,625;0,423809523809524;0,197619047619048;0,287878787878788;-0,0395019033721585;9,33;2;2,7;3,21
wt;OXA48;MB003;0,698841698841699;0,477678571428571;0,652173913043478;1,63865546218487;0,0200638349634637;9,76;3,45;4,32;4,09
wt;OXA48;MB003;0,730538922155689;0,781725888324873;1,42953020134228;2,66326530612245;0,0362256308121757;0,51;0,74;1,34;2,65
wt;OXA48;MB003;0,721723518850987;0,641921397379913;1,25766871165644;2,37234042553191;0,0338090862272467;7,31;3,44;3,84;3,68
wt;OXA48;MB003;0,713461538461538;0,605128205128205;0,974683544303797;1,87619047619048;0,0251567189225264;8,9;3,36;4,13;4,29
KPC2;wt;MB003;0,644247787610619;0,313559322033898;0,36231884057971;0,415525114155251;-0,0000894648862325362;0,41;0,48;0,75;1,18
KPC2;wt;MB003;0,6;0,282608695652174;0,269230769230769;0,670886075949367;0,0144865326326888;0,39;0,299;0,503;0,85
KPC2;wt;MB003;0,563055062166963;0,293436293436293;0,239709443099274;0,294326241134752;-0,00986160289396339;8,8;3,31;3,04;3,14
KPC2;wt;MB003;0,516728624535316;0,263940520446097;0,178947368421053;0,221276595744681;-0,0177080653360434;8,67;3,51;3,62;3,59
KPC2;wt;MB003;0,556603773584906;0,318996415770609;0,40251572327044;0,909574468085106;0,0286806258352006;9,59;3,76;3,68;3,17
KPC2;wt;MB003;0,545751633986928;0,25;0,169611307420495;0,190871369294606;-0,0237750570935904;8,91;3,13;3,12;3,02
wt;KPC2;MB003;0,692035398230088;0,349282296650718;0,31063829787234;0,758241758241758;-0,00704766748332508;9,56;2,82;3,08;1,6
wt;KPC2;MB003;0,758555133079848;0,692307692307692;1,11111111111111;2,24324324324324;0,0286426177490619;9,25;2,64;3,04;2,4
wt;KPC2;MB003;0,726114649681529;0,446009389671362;0,554913294797688;1,40776699029126;0,0134301721063558;8,13;3,08;2,69;2,48
wt;KPC2;MB003;0,703619909502262;0,388185654008439;0,378378378378378;0,728476821192053;-0,00783047516192621;7,53;3,29;2,55;2,61
wt;KPC2;MB003;0,721627408993576;0,45662100456621;0,650602409638554;1,57017543859649;0,0182473504300686;8,04;3,19;2,74;2,93
wt;KPC2;MB003;0,732049036777583;0,52863436123348;0,824242424242424;1,84905660377358;0,0236230671940633;9,89;3,47;3,01;3,02
wt;wt;MB005;0,9;0,855670103092783;0,797356828193833;0,721739130434783;0,000903397310625627;0,57;1,8;4,08;3,96
wt;wt;MB005;0,853658536585366;0,846153846153846;0,797520661157025;0,706382978723404;0,00195800746991033;0,76;2,16;4,35;4,01
wt;wt;MB005;0,910596026490066;0,87719298245614;0,812688821752266;0,741818181818182;0,00131751075586843;5,77;5,35;6;4,79
wt;wt;MB005;0,962962962962963;0,869565217391304;0,822857142857143;0,753623188405797;0,000325372552265234;0,53;2,15;3,19;3,63
wt;wt;MB005;0,918367346938776;0,837209302325581;0,796296296296296;0,701834862385321;-0,000336853915044672;0,94;2,37;3,88;3,71
wt;wt;MB005;0,909090909090909;0,852459016393443;0,784431137724551;0,71889400921659;0,000357555182143197;0,84;2,26;2,98;3,73
wt;wt;MB005;0,853556485355649;0,783333333333333;0,741935483870968;0,7;0,00173825175699563;4,43;4,28;4,86;4,08
wt;wt;MB005;0,904166666666667;0,818181818181818;0,788990825688073;0,733590733590734;0,00159598211571788;4,57;4,4;5,85;4,49
wt;wt;MB005;0,907766990291262;0,83402489626556;0,780575539568345;0,742307692307692;0,00153211956052291;3,93;4,42;4,95;4,53
ompK35;wt;MB005;0,705882352941177;0,591760299625468;0,5;0,414965986394558;-0,00939134278900458;4,35;4,25;5,01;4,16
ompK35;wt;MB005;0,702797202797203;0,610486891385768;0,515580736543909;0,478964401294498;-0,00496173852083742;4,87;4,3;5,35;4,57
ompK35;wt;MB005;0,763837638376384;0,653571428571429;0,611979166666667;0,568421052631579;-0,00129116679083711;4,78;4,63;6,19;4,47
ompK35;wt;MB005;0,681818181818182;0,505747126436782;0,446902654867257;0,378947368421053;-0,0106267773906185;0,37;1,31;3,27;3,93
ompK35;wt;MB005;0,72972972972973;0,531531531531531;0,48780487804878;0,443037974683544;-0,00759787907459007;0,64;1,7;3,66;3,42
ompK35;wt;MB005;0,730769230769231;0,546296296296296;0,477777777777778;0,410852713178295;-0,010384892059839;0,45;1,67;2,66;3,64
wt;ompK35;MB005;0,96137339055794;0,905982905982906;0,88663967611336;1,02061855670103;-0,00703788939977799;4,67;4,29;5,34;4,03
wt;ompK35;MB005;0,991803278688525;0,972350230414746;0,929824561403509;0,968586387434555;-0,00977392439591018;0,58;1,86;3,69;3,86
wt;ompK35;MB005;0,968468468468468;0,960698689956332;0,981651376146789;1,1340782122905;-0,00366457003606027;4,57;4,55;5,35;4,42
wt;ompK35;MB005;1;1,04938271604938;1,0762331838565;1,23699421965318;-0,00198292682241402;4,85;4,43;5,08;4,52
wt;ompK35;MB005;0,904761904761905;0,892116182572614;0,914691943127962;1,12592592592593;-0,00180552430191315;0,37;1,36;2,5;3,38
wt;ompK35;MB005;0,857142857142857;0,802631578947368;0,748091603053435;0,689024390243902;-0,0158696515014897;4,16;4,9;3,91;4,55
OXA48;wt;MB005;0,710622710622711;0,532142857142857;0,397905759162304;0,295819935691318;-0,0209675352626436;4,07;4,26;4,62;4,4
OXA48;wt;MB005;0,567567567567568;0,388059701492537;0,27681660899654;0,176829268292683;-0,03013213979522;4;4,09;5,07;4,53
OXA48;wt;MB005;0,686346863468635;0,568965517241379;0,422872340425532;0,331325301204819;-0,0165848149866461;4,08;4,24;4,59;4,62
OXA48;wt;MB005;0,678200692041522;0,52233676975945;0,387978142076503;0,27683615819209;-0,0216230038492092;4,45;4,48;4,65;4,61
OXA48;wt;MB005;0,681818181818182;0,402061855670103;0,269035532994924;0,181818181818182;-0,0354391464146126;4,04;4,32;4,47;4,3
OXA48;wt;MB005;0,697959183673469;0,550632911392405;0,421818181818182;0,346153846153846;-0,0154721055081958;0,52;1,63;2,5;3,77
wt;OXA48;MB005;0,704724409448819;0,566176470588235;0,437722419928826;0,372693726937269;-0,0303008137253855;4,57;4,46;4,66;3,92
wt;OXA48;MB005;0,621621621621622;0,431372549019608;0,315270935960591;0,233201581027668;-0,041164357545139;4,86;4,28;4,4;3,76
wt;OXA48;MB005;0,718181818181818;0,612903225806452;0,452830188679245;0,37984496124031;-0,0307517963054004;4,37;4,49;4,32;3,82
wt;OXA48;MB005;0,714285714285714;0,509090909090909;0,402173913043478;0,330578512396694;-0,0340866954780994;5;4,98;4,63;3,87
wt;OXA48;MB005;0,739130434782609;0,46078431372549;0,325301204819277;0,292307692307692;-0,0399279178066446;4,8;4,56;4,04;2,87
wt;OXA48;MB005;0,739130434782609;0,5859375;0,463519313304721;0,3828125;-0,0306976335174396;0,39;1,37;2,29;2,77
KPC2;wt;MB005;0,583657587548638;0,424749163879599;0,276243093922652;0,198910081743869;-0,028364870259294;4,33;4,26;4,04;3,72
KPC2;wt;MB005;0,58102766798419;0,410344827586207;0,28030303030303;0,221024258760108;-0,0245758895895852;0,6;1,46;2,67;3,12
KPC2;wt;MB005;0,551330798479088;0,372168284789644;0,247282608695652;0,166666666666667;-0,0317471646023235;3,78;4;3,85;3,56
KPC2;wt;MB005;0,508474576271186;0,353474320241692;0,24;0,146766169154229;-0,0329178030117222;0,48;1,66;2,58;3,22
KPC2;wt;MB005;0,496296296296296;0,384615384615385;0,252100840336134;0,194444444444444;-0,0241037919618411;0,4;1,49;2,2;1,68
KPC2;wt;MB005;0,485714285714286;0,263565891472868;0,157407407407407;0,0959302325581395;-0,0455834877744582;3,2;4,06;3,41;3,54
wt;KPC2;MB005;0,6640625;0,525179856115108;0,37109375;0,298245614035088;-0,0361027380382144;4,26;4,24;3,51;3,7
wt;KPC2;MB005;0,615384615384615;0,464912280701754;0,335294117647059;0,292592592592593;-0,0341885050049991;0,63;1,67;2,27;3,49
wt;KPC2;MB005;0,696498054474708;0,566539923954373;0,407563025210084;0,345762711864407;-0,0329189975481665;4,36;4,12;3,35;3,97
wt;KPC2;MB005;0,615384615384615;0,428571428571429;0,285714285714286;0,188976377952756;-0,0480895242297261;0,63;1,6;2,16;3,02
wt;KPC2;MB005;0,636363636363636;0,425;0,278195488721804;0,205882352941176;-0,046707718548508;0,36;1,14;1,7;2,87
wt;KPC2;MB005;0,738197424892704;0,598566308243728;0,440816326530612;0,343065693430657;-0,0346638804999097;4,05;4,46;3,53;3,68
wt;wt;MB006;0,907010014306152;0,831932773109244;0,803571428571428;0,752688172043011;0,00310094669851027;13,33;4,36;1,01;1,63
wt;wt;MB006;0,914760914760915;0,856031128404669;0,772727272727273;0,708333333333333;0,000346632177067877;9,21;4,77;1,95;1,23
wt;wt;MB006;0,898403483309144;0,839130434782609;0,775510204081633;0,685185185185185;0,000126521926219614;13,08;4,23;2,61;1,82
wt;wt;MB006;0,88968824940048;0,858108108108108;0,747663551401869;0,671232876712329;-0,000787543462608401;7,88;2,75;1,87;1,22
wt;wt;MB006;0,878731343283582;0,864406779661017;0,79047619047619;0,672727272727273;0,000134620699797366;10,07;3,3;1,88;0,92
